D_CLIENTE,ESTADO,D_EMPRESA_TRANSPORTISTA,TIPOTRANSPORTE,PESO_NETO,CAP_MAXIMA,CIUDAD,PLANTAORIGEN_Pesqueria,TIPO_SERVICIO_LO,TIPO_PERMISO_Despacho,TIPO_PERMISO_Cliente ENVIA,TIPO_PERMISO_Traslado Externo,TIPO_PERMISO_Traslado Externo sin Pesada
187,1,TRANSPORTE31,9,30670,54.0,39,1,0,0,1,0,0
107,8,TRANSPORTE63,5,36890,54.0,35,1,0,0,1,0,0
145,14,TRANSPORTE52,6,23300,54.0,61,1,1,0,0,1,0
147,22,TRANSPORTE26,5,20480,54.0,1,1,0,0,1,0,0
99,1,TRANSPORTE53,5,36980,54.0,39,1,0,0,1,0,0
148,14,TRANSPORTE54,5,18190,54.0,61,1,1,0,1,0,0
148,14,TRANSPORTE7,6,26570,54.0,61,1,1,0,1,0,0
268,14,TRANSPORTE68,7,39050,54.0,3,1,1,0,1,0,0
146,1,TRANSPORTE53,5,35070,54.0,39,1,0,0,1,0,0
107,8,TRANSPORTE46,5,33070,54.0,51,1,0,0,1,0,0
227,14,TRANSPORTE66,6,22870,54.0,42,1,1,0,0,1,0
268,14,TRANSPORTE54,5,36190,54.0,3,1,1,0,1,0,0
56,5,TRANSPORTE73,5,36790,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE74,7,35360,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE74,7,37060,54.0,41,1,0,0,0,1,0
149,5,TRANSPORTE13,5,30200,54.0,52,1,0,0,1,0,0
229,14,TRANSPORTE59,5,22940,54.0,23,1,1,0,1,0,0
137,14,TRANSPORTE66,5,40770,54.0,61,1,1,0,0,1,0
268,14,TRANSPORTE19,5,22990,54.0,3,1,1,0,1,0,0
137,14,TRANSPORTE52,6,37320,54.0,61,1,1,0,0,1,0
150,14,TRANSPORTE53,6,27040,54.0,49,1,1,0,1,0,0
227,14,TRANSPORTE53,6,22200,54.0,42,1,1,0,0,1,0
145,14,TRANSPORTE53,6,22510,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,32900,54.0,61,1,1,0,0,1,0
151,14,TRANSPORTE68,5,33170,54.0,3,1,1,0,0,1,0
28,14,TRANSPORTE38,5,35550,54.0,61,1,1,0,0,1,0
151,14,TRANSPORTE38,5,38970,54.0,3,1,1,0,0,1,0
151,14,TRANSPORTE38,5,36120,54.0,3,1,1,0,0,1,0
151,14,TRANSPORTE38,5,20400,54.0,3,1,1,0,0,1,0
111,14,TRANSPORTE38,5,29150,54.0,23,1,1,0,0,1,0
111,14,TRANSPORTE53,6,28600,54.0,23,1,1,0,0,1,0
151,14,TRANSPORTE22,5,34180,54.0,3,1,1,0,0,1,0
111,14,TRANSPORTE53,6,29900,54.0,23,1,1,0,0,1,0
227,14,TRANSPORTE38,5,22030,54.0,42,1,1,0,0,1,0
56,5,TRANSPORTE4,5,36670,54.0,41,1,0,0,0,1,0
145,14,TRANSPORTE54,5,36060,54.0,61,1,1,0,0,1,0
111,14,TRANSPORTE68,5,41200,54.0,23,1,1,0,0,1,0
111,14,TRANSPORTE53,6,29940,54.0,23,1,1,0,0,1,0
111,14,TRANSPORTE63,6,31240,54.0,23,1,1,0,0,1,0
56,5,TRANSPORTE75,5,25640,54.0,41,1,0,0,0,1,0
145,14,TRANSPORTE54,5,23830,54.0,61,1,1,0,0,1,0
152,14,TRANSPORTE38,5,30770,54.0,3,1,1,0,0,1,0
99,1,TRANSPORTE61,5,28170,54.0,39,1,0,0,1,0,0
227,14,TRANSPORTE70,5,24360,54.0,42,1,1,0,0,1,0
140,14,TRANSPORTE53,6,30140,54.0,3,1,1,0,0,1,0
111,14,TRANSPORTE53,6,31710,54.0,23,1,1,0,0,1,0
137,14,TRANSPORTE53,6,33560,54.0,61,1,1,0,0,1,0
153,14,TRANSPORTE68,5,23720,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE22,5,20710,54.0,42,1,1,0,0,1,0
111,14,TRANSPORTE53,6,29590,54.0,23,1,1,0,0,1,0
236,18,TRANSPORTE75,5,35760,54.0,60,1,0,0,0,1,0
227,14,TRANSPORTE68,7,40890,54.0,42,1,1,0,0,1,0
236,18,TRANSPORTE75,5,32850,54.0,60,1,0,0,0,1,0
28,14,TRANSPORTE16,5,30570,54.0,61,1,1,0,0,1,0
236,18,TRANSPORTE75,5,34040,54.0,60,1,0,0,0,1,0
266,14,TRANSPORTE70,3,23500,46.5,3,1,1,0,1,0,0
227,14,TRANSPORTE54,5,22590,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE70,5,38850,54.0,61,1,1,0,0,1,0
236,18,TRANSPORTE75,5,34720,54.0,60,1,0,0,0,1,0
227,14,TRANSPORTE70,5,22600,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE49,5,26400,54.0,3,1,1,0,0,1,0
107,8,TRANSPORTE46,5,31710,54.0,35,1,0,0,1,0,0
266,14,TRANSPORTE16,5,23450,51.0,3,1,1,0,1,0,0
151,14,TRANSPORTE59,5,19700,54.0,3,1,1,0,0,1,0
99,1,TRANSPORTE61,5,27860,54.0,39,1,0,0,1,0,0
145,14,TRANSPORTE57,6,21330,54.0,61,1,1,0,0,1,0
56,5,TRANSPORTE76,5,32360,54.0,41,1,0,0,0,1,0
155,5,TRANSPORTE77,7,22700,54.0,20,1,0,0,1,0,0
155,5,TRANSPORTE23,5,37150,54.0,41,1,0,0,1,0,0
196,17,TRANSPORTE8,5,35650,54.0,51,1,0,0,1,0,0
56,5,TRANSPORTE77,9,30080,54.0,41,1,0,0,0,1,0
151,14,TRANSPORTE38,5,26080,54.0,3,1,1,0,0,1,0
56,5,TRANSPORTE78,9,21200,54.0,41,1,0,0,0,1,0
227,14,TRANSPORTE53,6,22960,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE61,6,21990,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE38,5,18610,54.0,3,1,1,0,0,1,0
28,14,TRANSPORTE54,5,28780,54.0,61,1,1,0,0,1,0
266,14,TRANSPORTE66,6,32060,54.0,3,1,1,0,1,0,0
61,14,TRANSPORTE68,5,23020,54.0,3,1,1,0,1,0,0
56,5,TRANSPORTE78,5,29020,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE79,5,32060,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE79,5,28440,54.0,41,1,0,0,0,1,0
28,14,TRANSPORTE66,11,37190,54.0,61,1,1,0,0,1,0
151,14,TRANSPORTE38,5,30440,54.0,3,1,1,0,0,1,0
28,14,TRANSPORTE38,7,39450,54.0,61,1,1,0,0,1,0
56,5,TRANSPORTE77,7,32660,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE80,5,30870,54.0,41,1,0,0,0,1,0
43,14,TRANSPORTE68,5,38930,54.0,61,1,1,0,1,0,0
227,14,TRANSPORTE53,6,38720,54.0,42,1,1,0,0,1,0
84,14,TRANSPORTE68,8,19510,54.0,23,1,1,0,1,0,0
109,14,TRANSPORTE53,6,19780,54.0,13,1,1,0,1,0,0
227,14,TRANSPORTE53,6,22560,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE66,6,22630,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE59,5,22610,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE38,5,32140,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE54,5,21840,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE19,5,22120,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE54,6,22190,54.0,42,1,1,0,0,1,0
43,14,TRANSPORTE38,5,33180,54.0,61,1,1,0,1,0,0
227,14,TRANSPORTE19,5,22140,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE66,6,23630,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE59,5,35920,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE59,5,34070,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE53,6,27420,54.0,42,1,1,0,0,1,0
153,14,TRANSPORTE70,3,29350,46.5,61,1,1,0,0,1,0
6,14,TRANSPORTE70,5,19500,54.0,61,1,1,0,1,0,0
6,14,TRANSPORTE70,7,24170,54.0,61,1,1,0,1,0,0
145,14,TRANSPORTE81,3,22640,46.5,61,1,1,0,0,1,0
145,14,TRANSPORTE19,5,37200,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE38,5,25950,54.0,42,1,1,0,0,1,0
150,14,TRANSPORTE61,6,27020,54.0,49,1,1,0,1,0,0
227,14,TRANSPORTE61,6,22020,54.0,42,1,1,0,0,1,0
111,14,TRANSPORTE53,6,36200,54.0,23,1,1,0,0,1,0
227,14,TRANSPORTE53,6,25990,54.0,42,1,1,0,0,1,0
145,14,TRANSPORTE53,6,26510,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE66,6,23090,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE66,6,29810,54.0,42,1,1,0,0,1,0
111,14,TRANSPORTE53,6,21850,54.0,23,1,1,0,0,1,0
153,14,TRANSPORTE49,5,26940,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE38,5,30670,54.0,61,1,1,0,0,1,0
156,14,TRANSPORTE38,7,19590,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE19,5,25690,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE57,5,26110,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,26220,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE68,5,34040,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE59,5,19380,54.0,61,1,1,0,0,1,0
99,1,TRANSPORTE8,5,28300,54.0,39,1,0,0,1,0,0
227,14,TRANSPORTE70,5,21240,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE19,5,34680,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE66,6,32620,54.0,42,1,1,0,0,1,0
145,14,TRANSPORTE68,5,38230,54.0,61,1,1,0,0,1,0
151,14,TRANSPORTE70,4,19030,48.0,3,1,1,0,0,1,0
145,14,TRANSPORTE53,6,38240,54.0,61,1,1,0,0,1,0
147,22,TRANSPORTE75,5,20540,54.0,1,1,0,0,1,0,0
227,14,TRANSPORTE53,6,23620,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE53,6,23050,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE70,5,32310,54.0,61,1,1,0,0,1,0
151,14,TRANSPORTE68,5,20730,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE54,6,22600,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE62,5,26040,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE63,6,21960,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE53,6,20680,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE53,6,35400,54.0,42,1,1,0,0,1,0
153,14,TRANSPORTE68,5,29560,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE59,5,39070,54.0,61,1,1,0,0,1,0
236,18,TRANSPORTE63,5,36100,54.0,60,1,0,0,0,1,0
153,14,TRANSPORTE68,5,40480,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE53,6,23740,54.0,42,1,1,0,0,1,0
145,14,TRANSPORTE54,5,26530,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE54,6,23720,54.0,42,1,1,0,0,1,0
145,14,TRANSPORTE7,6,24220,54.0,61,1,1,0,0,1,0
151,14,TRANSPORTE54,5,18840,54.0,3,1,1,0,0,1,0
145,14,TRANSPORTE53,6,20250,54.0,61,1,1,0,0,1,0
153,14,TRANSPORTE22,5,29000,54.0,61,1,1,0,0,1,0
153,14,TRANSPORTE52,11,40390,54.0,61,1,1,0,0,1,0
