PLANTAORIGEN_Pesqueria,D_CLIENTE,PESO_NETO,ESTADO,CIUDAD,TIPOTRANSPORTE,target
1,187,30670,1,39,9,20
1,107,36890,8,35,5,50
1,145,23300,14,61,6,39
1,147,20480,22,1,5,15
1,99,36980,1,39,5,40
1,148,18190,14,61,5,41
1,148,26570,14,61,6,56
1,268,39050,14,3,7,54
1,146,35070,1,39,5,40
1,107,33070,8,51,5,33
1,227,22870,14,42,6,52
1,268,36190,14,3,5,41
1,56,36790,5,41,5,59
1,56,35360,5,41,7,60
1,56,37060,5,41,7,60
1,149,30200,5,52,5,4
1,229,22940,14,23,5,45
1,137,40770,14,61,5,52
1,268,22990,14,3,5,9
1,137,37320,14,61,6,39
1,150,27040,14,49,6,40
1,227,22200,14,42,6,40
1,145,22510,14,61,6,40
1,137,32900,14,61,6,40
1,151,33170,14,3,5,54
1,28,35550,14,61,5,25
1,151,38970,14,3,5,25
1,151,36120,14,3,5,25
1,151,20400,14,3,5,25
1,111,29150,14,23,5,25
1,111,28600,14,23,6,40
1,151,34180,14,3,5,12
1,111,29900,14,23,6,40
1,227,22030,14,42,5,25
1,56,36670,5,41,5,26
1,145,36060,14,61,5,41
1,111,41200,14,23,5,54
1,111,29940,14,23,6,40
1,111,31240,14,23,6,50
1,56,25640,5,41,5,61
1,145,23830,14,61,5,41
1,152,30770,14,3,5,25
1,99,28170,1,39,5,48
1,227,24360,14,42,5,57
1,140,30140,14,3,6,40
1,111,31710,14,23,6,40
1,137,33560,14,61,6,40
1,153,23720,14,61,5,54
1,227,20710,14,42,5,12
1,111,29590,14,23,6,40
1,236,35760,18,60,5,61
1,227,40890,14,42,7,54
1,236,32850,18,60,5,61
1,28,30570,14,61,5,7
1,236,34040,18,60,5,61
1,266,23500,14,3,3,57
1,227,22590,14,42,5,41
1,28,38850,14,61,5,57
1,236,34720,18,60,5,61
1,227,22600,14,42,5,57
1,151,26400,14,3,5,36
1,107,31710,8,35,5,33
1,266,23450,14,3,5,7
1,151,19700,14,3,5,45
1,99,27860,1,39,5,48
1,145,21330,14,61,6,44
1,56,32360,5,41,5,62
1,155,22700,5,20,7,63
1,155,37150,5,41,5,13
1,196,35650,17,51,5,66
1,56,30080,5,41,9,63
1,151,26080,14,3,5,25
1,56,21200,5,41,9,64
1,227,22960,14,42,6,40
1,227,21990,14,42,6,48
1,151,18610,14,3,5,25
1,28,28780,14,61,5,41
1,266,32060,14,3,6,52
1,61,23020,14,3,5,54
1,56,29020,5,41,5,64
1,56,32060,5,41,5,65
1,56,28440,5,41,5,65
1,28,37190,14,61,11,52
1,151,30440,14,3,5,25
1,28,39450,14,61,7,25
1,56,32660,5,41,7,63
1,56,30870,5,41,5,67
1,43,38930,14,61,5,54
1,227,38720,14,42,6,40
1,84,19510,14,23,8,54
1,109,19780,14,13,6,40
1,227,22560,14,42,6,40
1,227,22630,14,42,6,52
1,227,22610,14,42,5,45
1,28,32140,14,61,5,25
1,227,21840,14,42,5,41
1,227,22120,14,42,5,9
1,227,22190,14,42,6,41
1,43,33180,14,61,5,25
1,227,22140,14,42,5,9
1,227,23630,14,42,6,52
1,227,35920,14,42,5,45
1,227,34070,14,42,5,45
1,227,27420,14,42,6,40
1,153,29350,14,61,3,57
1,6,19500,14,61,5,57
1,6,24170,14,61,7,57
1,145,22640,14,61,3,68
1,145,37200,14,61,5,9
1,227,25950,14,42,5,25
1,150,27020,14,49,6,48
1,227,22020,14,42,6,48
1,111,36200,14,23,6,40
1,227,25990,14,42,6,40
1,145,26510,14,61,6,40
1,227,23090,14,42,6,52
1,227,29810,14,42,6,52
1,111,21850,14,23,6,40
1,153,26940,14,61,5,36
1,28,30670,14,61,5,25
1,156,19590,14,61,7,25
1,28,25690,14,61,5,9
1,28,26110,14,61,5,44
1,137,26220,14,61,6,40
1,137,34040,14,61,5,54
1,145,19380,14,61,5,45
1,99,28300,1,39,5,66
1,227,21240,14,42,5,57
1,28,34680,14,61,5,9
1,227,32620,14,42,6,52
1,145,38230,14,61,5,54
1,151,19030,14,3,4,57
1,145,38240,14,61,6,40
1,147,20540,22,1,5,61
1,227,23620,14,42,6,40
1,227,23050,14,42,6,40
1,28,32310,14,61,5,57
1,151,20730,14,3,5,54
1,227,22600,14,42,6,41
1,151,26040,14,3,5,49
1,227,21960,14,42,6,50
1,227,20680,14,42,6,40
1,227,35400,14,42,6,40
1,153,29560,14,61,5,54
1,145,39070,14,61,5,45
1,236,36100,18,60,5,50
1,153,40480,14,61,5,54
1,227,23740,14,42,6,40
1,145,26530,14,61,5,41
1,227,23720,14,42,6,41
1,145,24220,14,61,6,56
1,151,18840,14,3,5,41
1,145,20250,14,61,6,40
1,153,29000,14,61,5,12
1,153,40390,14,61,11,39
1,145,32580,14,61,6,44
1,145,20050,14,61,6,40
1,145,22970,14,61,6,40
1,227,26440,14,42,6,52
1,145,26690,14,61,6,40
1,227,24020,14,42,11,43
1,145,22150,14,61,6,40
1,196,34590,17,51,5,40
1,145,25790,14,61,6,40
1,145,20930,14,61,7,57
1,145,26680,14,61,5,45
1,266,23440,14,3,6,56
1,145,20140,14,61,6,40
1,145,35210,14,61,6,50
1,145,36930,14,61,6,52
1,145,23500,14,61,4,57
1,145,36940,14,61,6,52
1,145,36920,14,61,6,40
1,145,36680,14,61,6,40
1,204,29520,14,3,8,44
1,145,29860,14,61,6,40
1,145,38080,14,61,6,40
1,145,40350,14,61,7,45
1,204,26940,14,3,11,39
1,227,22580,14,42,6,44
1,204,23660,14,3,5,41
1,137,32880,14,61,7,54
1,145,19400,14,61,6,40
1,28,36360,14,61,5,9
1,137,31270,14,61,5,41
1,145,23530,14,61,5,12
1,145,32670,14,61,6,39
1,145,20390,14,61,5,41
1,145,38620,14,61,6,40
1,145,23470,14,61,6,40
1,145,23460,14,61,5,54
1,145,23490,14,61,5,12
1,145,20120,14,61,6,50
1,145,22620,14,61,6,40
1,145,19970,14,61,6,50
1,145,26250,14,61,6,52
1,145,29590,14,61,6,50
1,157,37930,14,49,6,40
1,145,30760,14,61,6,50
1,227,23730,14,42,11,39
1,157,31360,14,49,6,41
1,137,26700,14,61,5,41
1,137,36740,14,61,6,40
1,145,19370,14,61,6,41
1,145,23780,14,61,6,50
1,227,36490,14,42,7,54
1,137,21250,14,61,6,39
1,137,33140,14,61,6,40
1,157,32110,14,49,6,40
1,28,34560,14,61,5,54
1,157,35980,14,49,6,40
1,157,35700,14,49,6,40
1,145,36750,14,61,6,52
1,157,35960,14,49,6,40
1,137,32920,14,61,6,40
1,137,33240,14,61,6,40
1,137,33110,14,61,8,44
1,107,28180,8,35,5,66
1,204,37530,14,3,5,54
1,204,34380,14,3,7,57
1,227,36510,14,42,11,39
1,227,38480,14,42,11,39
1,204,30280,14,3,5,57
1,204,25990,14,3,5,25
1,204,29390,14,3,5,25
1,204,34810,14,3,5,25
1,204,33670,14,3,5,25
1,204,37080,14,3,5,25
1,204,27100,14,3,5,25
1,158,39180,14,61,5,25
1,204,29520,14,3,5,54
1,28,25710,14,61,5,57
1,157,39620,14,49,6,40
1,145,19780,14,61,6,52
1,157,28550,14,49,6,40
1,157,30600,14,49,5,41
1,157,37580,14,49,6,40
1,137,37970,14,61,5,57
1,157,39460,14,49,6,40
1,157,39210,14,49,6,40
1,204,29400,14,3,3,57
1,137,33780,14,61,6,50
1,137,32570,14,61,6,40
1,28,33550,14,61,5,54
1,157,35830,14,49,6,50
1,157,31520,14,49,6,40
1,157,36090,14,49,6,40
1,137,32610,14,61,6,40
1,157,36040,14,49,6,40
1,0,32060,18,60,5,66
1,227,20530,14,42,6,40
1,236,31070,18,60,5,66
1,159,30190,14,55,6,40
1,157,26730,14,49,6,40
1,204,35740,14,3,5,12
1,28,29180,14,61,11,39
1,260,26810,14,61,5,54
1,204,39450,14,3,7,45
1,204,34180,14,3,5,29
1,227,32980,14,42,6,40
1,227,34890,14,42,6,40
1,227,22590,14,42,6,52
1,227,22570,14,42,5,41
1,151,30300,14,3,7,54
1,227,21690,14,42,6,52
1,157,29400,14,49,6,48
1,227,20810,14,42,5,41
1,157,26070,14,49,6,40
1,268,25430,14,3,6,40
1,268,35260,14,3,6,40
1,151,23320,14,3,5,57
1,157,37980,14,49,6,40
1,137,35750,14,61,5,12
1,227,36800,14,42,6,52
1,28,39280,14,61,7,25
1,28,32810,14,61,7,25
1,56,31730,5,41,7,60
1,56,38910,5,41,7,69
1,56,31760,5,41,5,69
1,227,36780,14,42,5,45
1,56,38190,5,41,5,63
1,56,28920,5,41,5,70
1,227,32760,14,42,6,40
1,151,21500,14,3,5,25
1,151,20820,14,3,5,25
1,160,28880,9,60,5,66
1,227,22030,14,42,6,40
1,227,21930,14,42,6,39
1,28,31690,14,61,4,57
1,157,38910,14,49,5,54
1,227,20190,14,42,6,40
1,157,38780,14,49,5,54
1,137,26040,14,61,5,9
1,28,36010,14,61,5,9
1,137,37380,14,61,6,40
1,157,24560,14,49,5,41
1,227,22040,14,42,6,52
1,196,20260,17,51,3,75
1,227,20640,14,42,6,40
1,151,30620,14,3,5,25
1,227,20780,14,42,5,41
1,227,20600,14,42,6,50
1,84,37740,14,23,6,48
1,227,22820,14,42,5,25
1,150,27350,14,49,6,40
1,227,21880,14,42,5,41
1,227,28480,14,42,5,30
1,227,32750,14,42,6,40
1,151,18270,14,3,5,30
1,227,36870,14,42,5,9
1,227,32490,14,42,6,44
1,260,18670,14,61,5,54
1,260,17680,14,61,5,54
1,227,33980,14,42,5,41
1,28,40000,14,61,5,25
1,227,20710,14,42,6,44
1,157,28930,14,49,3,68
1,150,27100,14,49,6,40
1,227,22980,14,42,5,41
1,227,32180,14,42,6,50
1,227,20840,14,42,5,54
1,227,36860,14,42,6,52
1,151,20350,14,3,5,36
1,227,22830,14,42,6,40
1,227,36830,14,42,11,43
1,266,23460,14,3,3,57
1,151,35170,14,3,5,7
1,96,30460,14,3,6,48
1,266,23450,14,3,6,40
1,227,33950,14,42,5,54
1,227,39870,14,42,7,54
1,227,35120,14,42,5,25
1,266,23590,14,3,5,25
1,28,39560,14,61,5,52
1,266,23560,14,3,6,50
1,204,26060,14,3,5,41
1,227,23680,14,42,5,41
1,227,22130,14,42,5,41
1,266,23360,14,3,5,25
1,266,23600,14,3,5,12
1,266,23370,14,3,6,40
1,236,33340,18,60,5,61
1,266,23360,14,3,7,57
1,85,36160,9,67,5,33
1,266,23380,14,3,8,54
1,266,23550,14,3,5,25
1,227,22180,14,42,5,41
1,267,34300,14,63,5,45
1,157,29320,14,49,6,52
1,137,29640,14,61,5,32
1,157,24290,14,49,3,68
1,28,30780,14,61,3,57
1,266,23580,14,3,6,40
1,28,34770,14,61,5,54
1,236,36350,18,60,5,61
1,268,25210,14,3,5,30
1,266,23450,14,3,6,48
1,96,30680,14,3,4,57
1,96,30410,14,3,5,57
1,96,30250,14,3,5,57
1,266,23560,14,3,4,57
1,266,23440,14,3,6,40
1,161,38710,14,55,5,54
1,18,37710,5,7,6,39
1,266,23210,14,3,6,40
1,227,21250,14,42,6,39
1,268,25400,14,3,7,54
1,204,33570,14,3,5,41
1,56,26650,5,41,5,69
1,227,22380,14,42,6,39
1,268,25770,14,3,7,25
1,227,20380,14,42,6,41
1,28,36390,14,61,8,44
1,266,23380,14,3,5,25
1,137,30920,14,61,11,39
1,157,20220,14,49,5,61
1,266,23310,14,3,5,45
1,227,22990,14,42,6,39
1,227,33490,14,42,6,52
1,266,23370,14,3,4,57
1,236,37130,18,60,5,66
1,227,33620,14,42,6,52
1,157,26200,14,49,6,52
