PLANTAORIGEN,FECHADESPACHO,C_ID_VIAJE,FECHAVIAJE,C_CLIENTE,D_CLIENTE,ID_ESTADO,ESTADO,D_EMPRESA_TRANSPORTISTA,C_ID_CONDUCTOR,NOM_APE_COND,TIPO_SERVICIO,TIPOCAMION,TIPOTRANSPORTE,TIPO_PRODUCTO,TIPO_FORMA,CANT_PROGRAMADA,F_PRESENTACION,F_LLEGADANAVE,F_EGRESONAVE,F_INGRESOPLANTA,F_PESAJEENTRADA,F_ASIGVIAJE,F_INICIOCARGABULTO,F_FINCARGA,F_PESAJESALIDA,TIPO_ASIGNACION,C_PLANTA,D_PLANTA,TIPO_PERMISO,PESO_NETO,CAP_MAXIMA,ZONA_DESTINO,CUIDAD
Guerrero,11/06/2022 23:19:19,47103405,05-11-2022 15:16:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE68,60118,CHOFER1,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,38.386,06-11-2022 18:54:00,06-11-2022 19:27:48,06-11-2022 23:11:45,06-11-2022 18:54:04,06-11-2022 19:11:32,06-11-2022 18:54:45,06-11-2022 23:11:38,06-11-2022 23:11:43,06-11-2022 23:19:19,,GUE,Guerrero,Traslado Externo,38470,54.000,0,Monterrey
Guerrero,11/16/2022 14:58:16,47322566,19-11-2022 10:27:00,,CLIENTE132,19,Nuevo Leon,TRANPORTE68,60118,CHOFER1,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,31.572,16-11-2022 11:47:39,16-11-2022 14:47:21,16-11-2022 14:49:14,16-11-2022 11:47:41,16-11-2022 12:08:45,16-11-2022 11:50:38,16-11-2022 14:47:35,16-11-2022 14:49:14,16-11-2022 14:58:16,MANUAL,GUE,Guerrero,Traslado Externo,31530,54.000,0,Cienega de Flores
Guerrero,11/18/2022 07:14:21,47358720,18-11-2022 00:20:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE68,60118,CHOFER1,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,39.265,18-11-2022 04:08:27,18-11-2022 04:43:09,18-11-2022 06:29:22,18-11-2022 04:08:28,18-11-2022 04:22:32,18-11-2022 04:29:22,18-11-2022 05:51:14,18-11-2022 06:29:20,18-11-2022 07:14:21,,GUE,Guerrero,Traslado Externo,39390,54.000,0,Monterrey
Guerrero,11/19/2022 07:46:41,47369172,18-11-2022 12:18:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE68,60118,CHOFER1,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,39.9,19-11-2022 03:55:42,19-11-2022 05:10:17,19-11-2022 07:37:15,19-11-2022 03:55:43,19-11-2022 03:57:19,19-11-2022 03:58:35,19-11-2022 06:11:57,19-11-2022 06:42:20,19-11-2022 07:46:41,,GUE,Guerrero,Traslado Externo,39850,54.000,0,Monterrey
Guerrero,11/23/2022 15:13:51,47480917,23-11-2022 23:59:00,H000232500,CLIENTE171,019,Nuevo Leon,TRANPORTE68,60118,CHOFER1,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,31.677,23-11-2022 13:25:02,23-11-2022 14:40:50,23-11-2022 14:42:56,23-11-2022 13:25:04,23-11-2022 13:26:59,23-11-2022 13:39:42,23-11-2022 14:40:51,23-11-2022 14:42:56,23-11-2022 15:13:50,MANUAL,GUE,Guerrero,Cliente ENVIA,31550,54.000,0,APODACA
Guerrero,11/27/2022 08:36:17,47559913,27-11-2022 00:18:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE68,60118,CHOFER1,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,39.89,27-11-2022 05:15:36,27-11-2022 06:02:11,27-11-2022 08:31:03,27-11-2022 05:15:37,27-11-2022 05:17:43,27-11-2022 05:26:52,27-11-2022 06:41:35,27-11-2022 07:50:46,27-11-2022 08:36:17,,GUE,Guerrero,Traslado Externo,39880,54.000,0,Monterrey
Guerrero,11/28/2022 02:35:46,47578889,30-11-2022 21:00:00,,CLIENTE41,24,San Luis Potosi,TRANPORTE12,106040,CHOFER10,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,ROLLO,PLANOS,36.966,28-11-2022 00:21:35,28-11-2022 00:41:31,28-11-2022 01:36:58,28-11-2022 00:21:36,28-11-2022 00:23:14,28-11-2022 00:21:39,28-11-2022 00:51:38,28-11-2022 01:36:57,28-11-2022 02:35:46,,GUE,Guerrero,Traslado Externo,36830,54.000,0,San Luis Potosi
Guerrero,10/29/2022 11:56:28,46947411,29-10-2022 09:56:00,H000268986,CLIENTE211,019,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,CINTA,PLANOS,20.134,29-10-2022 09:08:49,29-10-2022 10:32:30,29-10-2022 10:33:34,29-10-2022 09:08:50,29-10-2022 09:22:41,29-10-2022 09:59:54,29-10-2022 10:32:30,29-10-2022 10:33:34,29-10-2022 11:56:28,MANUAL,GUE,Guerrero,Cliente ENVIA,20080,41.500,0,CIENEGA DE FLORES
Guerrero,11/01/2022 06:36:35,46985560,31-10-2022 23:59:00,H000122204,CLIENTE163,019,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,19.91,31-10-2022 21:11:31,01-11-2022 06:19:37,01-11-2022 06:19:53,31-10-2022 21:11:32,31-10-2022 21:13:17,31-10-2022 21:19:25,01-11-2022 06:19:39,01-11-2022 06:19:53,01-11-2022 06:36:35,MANUAL,GUE,Guerrero,Cliente ENVIA,19860,41.500,0,APODACA
Guerrero,11/17/2022 00:55:47,47330693,16-11-2022 23:59:00,,CLIENTE132,19,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,21.06,16-11-2022 23:40:10,17-11-2022 00:21:59,17-11-2022 00:41:43,16-11-2022 23:40:12,16-11-2022 23:41:59,16-11-2022 23:40:15,17-11-2022 00:22:01,17-11-2022 00:41:43,17-11-2022 00:55:47,AUTOMATICA,GUE,Guerrero,Traslado Externo,21010,41.500,0,Cienega de Flores
Guerrero,11/18/2022 23:06:02,47351989,17-11-2022 17:24:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,21.629,18-11-2022 20:42:23,18-11-2022 21:14:43,18-11-2022 22:37:41,18-11-2022 20:42:25,18-11-2022 20:44:38,18-11-2022 20:48:59,18-11-2022 22:37:03,18-11-2022 22:37:41,18-11-2022 23:06:02,MANUAL,GUE,Guerrero,Traslado Externo,21620,41.500,0,Monterrey
Guerrero,11/20/2022 03:36:46,47390761,19-11-2022 23:59:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,19.98,19-11-2022 22:50:22,19-11-2022 23:03:14,20-11-2022 03:16:41,19-11-2022 22:50:23,19-11-2022 22:51:50,19-11-2022 22:55:16,20-11-2022 03:15:14,20-11-2022 03:16:39,20-11-2022 03:36:46,,GUE,Guerrero,Traslado Externo,19960,41.500,Customizados MP (M3),Monterrey
Guerrero,11/21/2022 01:54:54,47420031,20-11-2022 19:33:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,21.61,20-11-2022 23:15:48,21-11-2022 01:39:07,21-11-2022 01:39:36,20-11-2022 23:15:50,20-11-2022 23:17:29,20-11-2022 23:15:54,21-11-2022 01:39:08,21-11-2022 01:39:36,21-11-2022 01:54:54,AUTOMATICA,GUE,Guerrero,Traslado Externo,21480,41.500,0,San Nicolas de los G
Guerrero,11/21/2022 16:14:28,47424988,21-11-2022 00:28:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,21.23,21-11-2022 11:41:49,21-11-2022 15:49:43,21-11-2022 15:50:07,21-11-2022 11:41:51,21-11-2022 11:43:32,21-11-2022 15:17:28,21-11-2022 15:49:45,21-11-2022 15:50:07,21-11-2022 16:14:28,MANUAL,GUE,Guerrero,Traslado Externo,21070,41.500,0,San Nicolas de los G
